County,Percent_Households_Below_Poverty_Level,Median_Age,Homeowner_Vacancy_Rate,Percent_Pop_25_And_Over_With_College_Or_Higher_Educ
"St. Charles, Missouri",5.1,38.6,0.8,38.9
"St. Clair, Missouri",16.9,50.3,2.3,13.9
"Ste. Genevieve, Missouri",11.4,43.3,1.9,19.7
"St. Francois, Missouri",16.1,39.4,2.7,14.3
"St. Louis, Missouri",9.5,40.3,1.5,43.6
"Saline, Missouri",14.7,37.9,1.2,19.4
"Schuyler, Missouri",19.7,40.1,0.8,12.6
"Scotland, Missouri",14.6,37.3,1,14.2
"Scott, Missouri",18.7,40,1.3,16.3
"Shannon, Missouri",26.1,45.8,3.7,14.9
"Shelby, Missouri",14.1,42.3,2.5,18.1
"Stoddard, Missouri",19.1,41.4,2.3,13.3
"Stone, Missouri",12.1,53.6,2.2,18.6
"Sullivan, Missouri",14.2,42.1,0.9,11.7
"Taney, Missouri",14.2,42.2,3.3,19.9
"Texas, Missouri",24.5,43.2,3.9,13.5
"Vernon, Missouri",13,40.8,2.2,18.9
"Warren, Missouri",11.4,41,1.2,19.1
"Washington, Missouri",20.1,40.8,0.7,9.9
"Wayne, Missouri",26.2,47.5,4.5,9.6
"Webster, Missouri",14.1,36.7,1.2,16.8
"Worth, Missouri",16.2,48.1,0,20
"Wright, Missouri",23.6,41.7,3.8,10.2
"St. Louis, Missouri",20.7,35.8,3.8,36.3
"Beaverhead, Montana",20.3,43,0.4,35.4
"Big Horn, Montana",20.9,30.7,1.7,18.1
"Blaine, Montana",23.8,33.8,1.1,22.9
"Broadwater, Montana",8.2,47.3,0.8,27.1
"Carbon, Montana",9.4,50.5,1.3,30.4
"Carter, Montana",10.2,47.8,0.2,20.2
"Cascade, Montana",14.3,38.3,1.1,25.7
"Chouteau, Montana",14.6,41.9,1,28.3
"Custer, Montana",13,41.4,1.8,24.6
"Daniels, Montana",4.9,49.2,0,24
"Dawson, Montana",11.9,41,3.9,22.2
"Deer Lodge, Montana",17.5,48.6,2.5,20.4
"Fallon, Montana",7.1,39.3,0.8,19
"Fergus, Montana",15.3,45.3,1,29.1
"Flathead, Montana",10.7,42.2,1.5,31
"Gallatin, Montana",13.3,33.4,0.9,50.1
"Garfield, Montana",10,45.8,0,14.3
"Glacier, Montana",27.8,31.9,3.5,21.4
"Golden Valley, Montana",18.8,56.9,3.2,22.7
"Granite, Montana",8.8,54.3,1.5,28.9
"Hill, Montana",18.3,34.3,2,25.4
"Jefferson, Montana",6.7,47.6,1.1,35
"Judith Basin, Montana",18.3,51.7,2.6,26.6
"Lake, Montana",17.3,42.3,2.2,29.6
"Lewis and Clark, Montana",10.1,40.8,1.3,40.1
"Liberty, Montana",11.5,46.5,5.9,15.2
"Lincoln, Montana",17.2,52.4,2.2,19.6
"McCone, Montana",10.4,46.6,0,17.2
"Madison, Montana",7.5,53,4.2,31.2
"Meagher, Montana",13,48,2.1,29.3
"Mineral, Montana",19.4,51.7,2,16.1
"Missoula, Montana",15.6,36,0.5,43
"Musselshell, Montana",12.4,50.1,5.5,16.3
"Park, Montana",13.3,46.3,0.7,31.5
"Petroleum, Montana",12.3,51.8,0,32.6
"Phillips, Montana",14,49,1.2,17.2
"Pondera, Montana",11,40.7,3.7,24
"Powder River, Montana",10.6,53.4,2.3,24.4
"Powell, Montana",14.1,45.5,1.2,20.4
"Prairie, Montana",10.6,48.7,4.8,22.2
"Ravalli, Montana",12.5,49.1,1.6,27.8
"Richland, Montana",7.9,38.6,3,18.9
"Roosevelt, Montana",25,30.2,2.4,17.4
"Rosebud, Montana",16.2,36.8,4.8,17.8
"Sanders, Montana",16.7,53.9,1.6,17.9
"Sheridan, Montana",10.8,46.3,0.9,23.9
"Silver Bow, Montana",19.4,40,1.8,27.2
"Stillwater, Montana",6.5,46.8,1.3,25
"Sweet Grass, Montana",7.5,52,0.5,25.4
"Teton, Montana",10.7,44.4,4.2,24.9
"Toole, Montana",12.4,43.1,5.9,15.2
"Treasure, Montana",19.7,56.8,0,25.4
"Valley, Montana",10.3,44.3,2.8,21.5
"Wheatland, Montana",16.4,41.1,1.3,19.6
"Wibaux, Montana",10.6,47.1,2,23.4
"Yellowstone, Montana",10.1,38.4,0.9,32.1
"Adams, Nebraska",11.8,37.7,0.8,24.3
"Antelope, Nebraska",12.5,44.9,1,18.4
"Arthur, Nebraska",13.7,45.5,0,26.2
"Banner, Nebraska",11.3,48.9,1.5,23.3
"Blaine, Nebraska",10.8,53.2,0,23
"Boone, Nebraska",8.3,44.8,0.4,21.1
"Box Butte, Nebraska",13,39.4,0.4,17.1
"Boyd, Nebraska",11.9,54.3,0.8,16.7
"Brown, Nebraska",11.6,49.4,0.9,20.7
"Buffalo, Nebraska",13.3,33.5,1.6,34.6
"Burt, Nebraska",11.9,45.7,1.9,21.3
"Butler, Nebraska",7.8,43.3,0.9,21.4
"Cass, Nebraska",7.5,41.7,1,27.7
"Cedar, Nebraska",6.9,42.7,2,21
"Chase, Nebraska",7.2,43.5,3.6,21
"Cherry, Nebraska",9.7,43.1,0.8,22.9
"Cheyenne, Nebraska",10.2,40.4,1.6,25.4
"Clay, Nebraska",11,42.5,0.8,19.9
"Colfax, Nebraska",10.6,33.7,1,15.4
"Cuming, Nebraska",8.7,42.6,3,23.8
"Custer, Nebraska",10.6,43.1,2.5,24
"Dakota, Nebraska",13.4,33.4,0.6,13
"Dawes, Nebraska",14,34.9,2,36.9
"Dawson, Nebraska",12.7,35.7,2.2,15.8
"Deuel, Nebraska",8.8,48.7,3.7,15.9
"Dixon, Nebraska",10.5,40.8,0.9,21.2
"Dodge, Nebraska",11.9,38.9,0.3,19
"Douglas, Nebraska",11.7,34.7,1.1,39.7
"Dundy, Nebraska",10.7,43.3,1.2,23.3
"Fillmore, Nebraska",10.8,47,1.9,21.4
"Franklin, Nebraska",13.4,50.8,2.1,17.3
"Frontier, Nebraska",9.8,45.2,2.1,21.5
"Furnas, Nebraska",13,46.9,1.1,17.4
"Gage, Nebraska",11.2,43.8,0.3,20.8
"Garden, Nebraska",7.8,50.4,0,22.5
"Garfield, Nebraska",10.4,50.9,1.3,25.5
"Gosper, Nebraska",6.9,53.4,0,29.5
"Grant, Nebraska",15.6,38.8,0,26.8
"Greeley, Nebraska",12.5,45.5,1.3,16.3
"Hall, Nebraska",11.2,35.9,1.2,21.5
"Hamilton, Nebraska",5.3,41.9,1.4,25
"Harlan, Nebraska",11.4,45.3,1.4,22.4
"Hayes, Nebraska",13.6,45.7,1.6,18.3
"Hitchcock, Nebraska",11.7,46.2,2.2,17.6
"Holt, Nebraska",9.2,42.8,1.5,22.4
"Hooker, Nebraska",9.7,53.3,2.8,26.4
"Howard, Nebraska",10.1,43.1,0.6,21.1
"Jefferson, Nebraska",13.6,46.5,0,17.8
"Johnson, Nebraska",9.2,40.9,1.7,17.5
"Kearney, Nebraska",8.3,39.6,1.4,26.7
"Keith, Nebraska",15,49.3,1.7,20.5
"Keya Paha, Nebraska",9.5,45.3,3.1,25
"Kimball, Nebraska",13,46.3,3.3,16.1
"Knox, Nebraska",9.6,45.6,1.5,21.6
"Lancaster, Nebraska",12.2,33.5,0.6,39.5
"Lincoln, Nebraska",11.8,41.1,0.8,23.2
"Logan, Nebraska",11,38.6,1.5,19.6
"Loup, Nebraska",12.6,53.2,0,25.3
"McPherson, Nebraska",13.6,54.8,3.5,22
"Madison, Nebraska",15.3,36.6,0.4,23
"Merrick, Nebraska",13.1,43.6,1.7,17.8
"Morrill, Nebraska",9.6,42.3,2.5,19.5
"Nance, Nebraska",11.5,44.8,3.1,18.3
"Nemaha, Nebraska",12.8,39.3,0.9,27.8
"Nuckolls, Nebraska",9.4,49.2,1.9,20.9
"Otoe, Nebraska",10.3,41.4,1.6,23.4
"Pawnee, Nebraska",16.1,50,0.4,17.1
"Perkins, Nebraska",6.3,42.9,0.6,28.1
"Phelps, Nebraska",10.8,42.4,0.7,23.5
"Pierce, Nebraska",9,41.6,0.5,23.2
"Platte, Nebraska",8.7,38.4,1.1,21.8
"Polk, Nebraska",6.6,45.1,0.7,21.8
"Red Willow, Nebraska",10.7,40.7,1.8,19.1
"Richardson, Nebraska",14,47.7,0.6,19
"Rock, Nebraska",6.6,46.2,0,23.2
"Saline, Nebraska",16.3,35.5,0.4,17.8
"Sarpy, Nebraska",6.1,34.6,0.5,39.8
"Saunders, Nebraska",8.2,41.2,0.3,25.4
"Scotts Bluff, Nebraska",14.3,39.5,1.3,22.9
"Seward, Nebraska",7.9,38,1.1,28.9
"Sheridan, Nebraska",14.1,46.7,1.7,22.8
"Sherman, Nebraska",12.9,49.7,2,20.2
"Sioux, Nebraska",5.9,44.1,3,30.6
"Stanton, Nebraska",6.9,42.1,2.4,17.8
"Thayer, Nebraska",9.3,46.5,0.1,18.8
"Thomas, Nebraska",10.5,41.8,7.2,24.7
"Thurston, Nebraska",22.6,27.5,0.9,16.4
"Valley, Nebraska",11.3,46.2,2,24.2
"Washington, Nebraska",8.9,41.2,1.5,29.9
"Wayne, Nebraska",17.9,32,0.5,32.4
"Webster, Nebraska",11.5,45.1,0.7,23
"Wheeler, Nebraska",10.7,49.4,3.3,19.4
"York, Nebraska",11.3,39.9,1.3,28.4
"Churchill, Nevada",12.6,39.7,1.5,18.8
"Clark, Nevada",13.2,37.3,2.2,24.5
"Douglas, Nevada",8.3,52,1.9,29.4
"Elko, Nevada",10.5,34.1,1.4,16.6
"Esmeralda, Nevada",7.3,55.4,3.7,16.1
"Eureka, Nevada",15.4,47.7,2.5,8.8
"Humboldt, Nevada",12.5,36,3,16.8
"Lander, Nevada",12,37.4,1.2,12.4
"Lincoln, Nevada",7.2,44.4,3.1,19.6
"Lyon, Nevada",10.4,43.7,2.4,14.4
"Mineral, Nevada",19.4,52.9,5.8,14.9
"Nye, Nevada",15.3,53.1,1.6,10.7
"Pershing, Nevada",17.4,42.1,3.7,11.1
"Storey, Nevada",3.4,50.9,1.5,31.4
"Washoe, Nevada",10.7,38.4,1.4,30.8
"White Pine, Nevada",13.3,39.8,2.7,13.2
"Carson City, Nevada",11.6,42.4,0.7,22.2
"Belknap, New Hampshire",8.9,47.4,1.5,32.6
"Carroll, New Hampshire",9.1,52.3,2.4,34.3
"Cheshire, New Hampshire",8.8,43.1,1.8,33.1
"Coos, New Hampshire",12.8,48.2,2.1,18.2
"Grafton, New Hampshire",10,43.2,1.9,40.6
"Hillsborough, New Hampshire",7.8,40.7,0.8,38.1
"Merrimack, New Hampshire",7.4,42.8,1,35.6
"Rockingham, New Hampshire",5.3,44.5,1,41.4
"Strafford, New Hampshire",9.9,36.9,1.3,35.8
"Sullivan, New Hampshire",10.2,46.3,1.5,28.1
"Atlantic, New Jersey",12.8,41.7,2.8,28.1
"Bergen, New Jersey",7.6,41.9,1.1,49.3
"Burlington, New Jersey",5.8,41.6,1.6,38
"Camden, New Jersey",12.4,38.8,1.7,32.5
"Cape May, New Jersey",9.5,49.6,4.3,32.8
"Cumberland, New Jersey",16.2,37.6,1.6,15.6
"Essex, New Jersey",16.6,37.6,2.2,35.5
"Gloucester, New Jersey",7.3,40.5,1.4,33
"Hudson, New Jersey",15,35.3,2.1,42.3
"Hunterdon, New Jersey",4.5,46.3,2.7,52.7
"Mercer, New Jersey",11.5,38.8,1.5,42.6
"Middlesex, New Jersey",8.6,38.6,1.3,43.6
"Monmouth, New Jersey",7.5,43.3,1.3,46
"Morris, New Jersey",5.1,42.8,1.3,54.1
"Ocean, New Jersey",8.6,42.7,1.7,30
"Passaic, New Jersey",15.1,37.2,1.1,28.2
"Salem, New Jersey",11.9,42.1,3.2,21
"Somerset, New Jersey",5.5,41.7,1.4,54.7
"Sussex, New Jersey",4.9,44.7,2.8,36.1
"Union, New Jersey",9.6,38.7,1.6,36
"Warren, New Jersey",7.8,44.4,1.8,33
"Bernalillo, New Mexico",15.9,37.6,1.7,34.4
"Catron, New Mexico",10.3,58.1,12.2,15.7
"Chaves, New Mexico",18.4,35.7,1.9,18
"Cibola, New Mexico",26.6,37.3,1,14.2
"Colfax, New Mexico",20.1,50.2,3.3,21.7
"Curry, New Mexico",19.1,31.5,3.4,19.2
"De Baca, New Mexico",13.8,35.4,0,13
"Do̱a Ana, New Mexico",24.6,33.1,2.1,27.1
"Eddy, New Mexico",13.6,35.2,1.6,16.2
"Grant, New Mexico",21.9,46.4,4,28.8
"Guadalupe, New Mexico",19.7,43.1,3.3,7.6
"Harding, New Mexico",10.9,58.5,2.7,21.7
"Hidalgo, New Mexico",26,43.1,2.1,14.6
"Lea, New Mexico",15.3,31.8,1,13.6
"Lincoln, New Mexico",11.6,50.9,8.9,25.8
"Los Alamos, New Mexico",5.4,42.3,1.2,67.4
"Luna, New Mexico",29.5,37.1,4.5,12.5
"McKinley, New Mexico",33.2,32.4,0.6,11.4
"Mora, New Mexico",27.3,55.2,2,11
"Otero, New Mexico",20.3,35.8,3,17.5
"Quay, New Mexico",13,43.4,2.6,17.1
"Rio Arriba, New Mexico",23.3,41.3,2.7,19.3
"Roosevelt, New Mexico",24.9,30,4.1,23.9
"Sandoval, New Mexico",11.7,40.1,2.3,30.5
"San Juan, New Mexico",19.2,35.4,1.8,14.9
"San Miguel, New Mexico",30.4,44,2.9,21.4
"Santa Fe, New Mexico",12.3,46.3,1.6,41
"Sierra, New Mexico",26.5,55.7,8.3,21.1
"Socorro, New Mexico",22.7,39.4,6,22
"Taos, New Mexico",18.9,48.8,2.8,28.7
"Torrance, New Mexico",21.2,43.6,3.5,14.8
"Union, New Mexico",19.6,39.8,4.3,11.7
"Valencia, New Mexico",16.3,38.9,2.3,18.5
"Albany, New York",11.4,37.8,1.7,41.8
"Allegany, New York",16,39.1,2.5,20.9
"Bronx, New York",28.3,34.2,1.7,20.1
"Broome, New York",16.2,39.9,1.7,28.4
"Cattaraugus, New York",16.1,42,2.3,19.1
"Cayuga, New York",11.5,42.9,0.6,22.6
"Chautauqua, New York",17.1,42.6,2,22.2
"Chemung, New York",13.9,41.3,1.3,23.3
"Chenango, New York",14.6,44.9,1.3,18.7
"Clinton, New York",15.1,39.5,1.9,22.9
"Columbia, New York",10.4,48.2,3.7,32.7
"Cortland, New York",16.1,36.4,1,28
"Delaware, New York",15.9,47.9,2.1,22.6
"Dutchess, New York",9,42.2,2,35
"Erie, New York",14,40.3,0.8,34.4
"Essex, New York",10.3,47.7,4,26.8
"Franklin, New York",17.9,39.9,1.4,19.1
"Fulton, New York",13.7,43.9,2.6,18.2
"Genesee, New York",11,43.1,1.5,22.3
"Greene, New York",13.3,45.9,3,22.1
"Hamilton, New York",9.7,55.3,5.4,16.8
"Herkimer, New York",13.4,44.2,3.2,21.5
"Jefferson, New York",13.7,32.5,2.7,22.2
"Kings, New York",19.6,35.2,1.7,37.5
"Lewis, New York",12.1,42.2,2.6,18.4
"Livingston, New York",12.8,41.3,0.6,26.5
"Madison, New York",9.9,41.9,2.5,26.2
"Monroe, New York",13.7,38.9,0.8,38.6
"Montgomery, New York",16.2,41,1.1,17.8
"Nassau, New York",5.9,41.7,1.1,46
"New York, New York",14.9,37.5,2.7,61.3
"Niagara, New York",13.4,43.2,4.4,24.6
"Oneida, New York",14.4,41,1.7,25.7
"Onondaga, New York",13.4,39.1,1.7,35.9
"Ontario, New York",8.3,43.7,1.3,36.3
"Orange, New York",10.5,37,2.8,30.3
"Orleans, New York",12.9,43,0.8,16.2
"Oswego, New York",14.9,40.3,2.1,19
"Otsego, New York",14.3,42.3,2.2,31.1
"Putnam, New York",4.2,44.2,1.2,39.6
"Queens, New York",12.6,39,1.5,32.2
"Rensselaer, New York",10.7,39.8,1.3,32
"Richmond, New York",12.6,40.1,2.3,33.9
"Rockland, New York",10.7,36,1.2,41.1
"St. Lawrence, New York",16.5,39,2.3,23.8
"Saratoga, New York",6.3,42.8,1.1,41.4
"Schenectady, New York",10.7,39.7,2,32.1
"Schoharie, New York",11.6,45.4,1.9,22.4
"Schuyler, New York",15,46.4,1.8,23.5
"Seneca, New York",11.2,42.1,1.6,21.1
"Steuben, New York",12.9,42.9,1.4,23.6
"Suffolk, New York",6.7,41.5,1.4,36.3
"Sullivan, New York",14.7,42.8,3.1,24.8
"Tioga, New York",10.9,44.5,1.3,26
"Tompkins, New York",17.7,31.1,1.9,53.5
"Ulster, New York",12,44,1.9,32.5
"Warren, New York",9.8,46.8,2,31.3
"Washington, New York",10.3,44.2,1.7,20.5
"Wayne, New York",11.1,43.8,1.2,22.6
"Westchester, New York",9.3,40.9,1.7,48.9
"Wyoming, New York",10.2,42.2,1,17.7
"Yates, New York",11.1,41,1.1,25.2
"Alamance, North Carolina",15,39.1,1,24.8
"Alexander, North Carolina",13.3,43.7,1.2,14.2
"Alleghany, North Carolina",20.5,50.1,2.6,17.3
"Anson, North Carolina",19.1,40.9,4.2,11.3
"Ashe, North Carolina",16.9,48.3,1.8,19.7
"Avery, North Carolina",16.6,45.2,3.3,20.7
"Beaufort, North Carolina",18,46.2,3.3,20.6
"Bertie, North Carolina",22.8,45.4,1.2,13.6
"Bladen, North Carolina",22.8,44.5,0.9,15.8
"Brunswick, North Carolina",12.4,53.8,2.5,29.9
"Buncombe, North Carolina",11.5,42.2,2.4,40.1
"Burke, North Carolina",16.3,44.1,2.2,16.4
"Cabarrus, North Carolina",9.5,37.9,1.3,32.3
"Caldwell, North Carolina",15.5,44.6,1.6,15.7
"Camden, North Carolina",8.1,41,0,17.1
"Carteret, North Carolina",10.8,48.6,3.5,29.1
"Caswell, North Carolina",18.1,45.7,3.6,15.9
"Catawba, North Carolina",13,41.4,1,22.6
"Chatham, North Carolina",9.4,46.7,1.4,42.4
"Cherokee, North Carolina",16.2,51.5,2.9,19
"Chowan, North Carolina",16.1,46,4,21.7
"Clay, North Carolina",15.3,52.2,1.3,23.7
"Cleveland, North Carolina",20.4,41.8,2,17.6
"Columbus, North Carolina",22.2,41.9,1.5,13.8
"Craven, North Carolina",13.9,37,2.5,25.3
"Cumberland, North Carolina",16.9,31.3,4,25.5
"Currituck, North Carolina",9.4,42.8,2.5,23.5
"Dare, North Carolina",8.6,46.5,4.1,34.7
"Davidson, North Carolina",14.7,42.5,2.4,18.5
"Davie, North Carolina",11.4,45.2,2.5,24
"Duplin, North Carolina",18.6,40.5,1.1,12.1
"Durham, North Carolina",13.1,35.4,0.7,48.2
"Edgecombe, North Carolina",24.6,41.7,3.4,13.6
"Forsyth, North Carolina",15.5,38.4,2.3,34
"Franklin, North Carolina",12.3,41.4,0.8,22
"Gaston, North Carolina",14,40.1,0.9,21.2
"Gates, North Carolina",12.3,46.5,2,14.3
"Graham, North Carolina",17.7,46.2,3.2,12.9
"Granville, North Carolina",13.1,42.7,0.9,22.5
"Greene, North Carolina",21.3,40.7,0.5,11
"Guilford, North Carolina",14.6,37.1,1.5,36
"Halifax, North Carolina",25.2,43.4,1.3,14.4
"Harnett, North Carolina",14.7,34.4,2.5,21.9
"Haywood, North Carolina",12.8,47.6,1.9,26
"Henderson, North Carolina",11.2,47.4,1.3,31.8
"Hertford, North Carolina",21.6,42.2,1.5,14.9
"Hoke, North Carolina",20.4,32.8,4,17.7
"Hyde, North Carolina",21.2,40.9,1.9,9.2
"Iredell, North Carolina",10.5,40.6,2.2,28.4
"Jackson, North Carolina",17.6,37.7,1.9,30.4
"Johnston, North Carolina",11.6,38.4,0.9,22.9
"Jones, North Carolina",23.4,48.5,0.6,12.2
"Lee, North Carolina",15,38.6,2.4,21.5
"Lenoir, North Carolina",20.8,42.7,2.4,14.9
"Lincoln, North Carolina",12,43.3,0.9,23
"McDowell, North Carolina",15.9,43.9,1.9,17.4
"Macon, North Carolina",14,50.1,3.1,23.8
"Madison, North Carolina",17.9,44,3.5,28.5
"Martin, North Carolina",17.8,46.3,1.6,16.4
"Mecklenburg, North Carolina",10.4,35.1,1.3,45.4
"Mitchell, North Carolina",13.2,47,3.1,20.5
"Montgomery, North Carolina",18,43.6,3.5,15.7
"Moore, North Carolina",10.7,44.3,3.3,37.4
"Nash, North Carolina",15.6,41.7,1.3,20.8
"New Hanover, North Carolina",15.8,39.1,1.5,40.6
"Northampton, North Carolina",21,49.6,1.3,13.8
"Onslow, North Carolina",12.4,26.4,2.9,22.9
"Orange, North Carolina",12.8,34.8,2,59.7
"Pamlico, North Carolina",13.2,52.4,3.1,18.5
"Pasquotank, North Carolina",15.9,38.6,2.5,22.1
"Pender, North Carolina",14.1,42.7,1.6,27.9
"Perquimans, North Carolina",16.3,49.8,2,20.2
"Person, North Carolina",14.8,43.7,1.7,15.6
"Pitt, North Carolina",21.1,32.5,2.1,32.7
"Polk, North Carolina",10.2,52.7,3.6,29.1
"Randolph, North Carolina",14.8,41.7,1.5,15.7
"Richmond, North Carolina",23.3,40.5,1.1,15.7
"Robeson, North Carolina",27.1,36.6,1.2,13.7
"Rockingham, North Carolina",17.7,44.7,2.1,15.1
"Rowan, North Carolina",14.9,40.2,2,18.5
"Rutherford, North Carolina",17.6,45,1.9,17.8
"Sampson, North Carolina",18.9,40.3,0.7,13.7
"Scotland, North Carolina",26.2,39.3,1.2,15.5
"Stanly, North Carolina",12,42.2,1.2,17.3
"Stokes, North Carolina",13.6,46.2,2.4,14.1
"Surry, North Carolina",17.3,44.1,1.4,18
"Swain, North Carolina",17.1,41.9,0.3,18.2
"Transylvania, North Carolina",12.9,51.1,2.3,32.6
"Tyrrell, North Carolina",21.5,46.2,1.3,10.6
"Union, North Carolina",7.9,38.2,1,35.4
"Vance, North Carolina",19.3,40.9,1.2,14.8
"Wake, North Carolina",8,36.2,1,52.8
"Warren, North Carolina",20,48,3.4,15.8
"Washington, North Carolina",25.9,46.1,4.3,11.5
"Watauga, North Carolina",25,31.9,4.2,42.2
"Wayne, North Carolina",18.4,37.8,1.5,19
"Wilkes, North Carolina",15.9,44.9,0.8,15.8
"Wilson, North Carolina",19.8,40.5,1.3,19.6
"Yadkin, North Carolina",13.4,44.4,0.4,11.6
"Yancey, North Carolina",16.4,47.6,4.9,20.3
"Adams, North Dakota",12.8,45.6,5.3,25.6
"Barnes, North Dakota",12.6,45.1,2,29.4
"Benson, North Dakota",25.8,30.5,2,16.2
"Billings, North Dakota",6.8,43.7,0,26.3
"Bottineau, North Dakota",9.2,45,3.7,24
"Bowman, North Dakota",11.7,41,1.7,24.2
"Burke, North Dakota",6.7,36.8,5.2,22.8
"Burleigh, North Dakota",8.9,37,1.3,35.8
"Cass, North Dakota",11.2,32.5,0.8,40.2
"Cavalier, North Dakota",10.9,49.5,3.8,19.5
"Dickey, North Dakota",6.4,41.9,2.2,28.8
"Divide, North Dakota",12,51.1,2.3,18.5
"Dunn, North Dakota",8.9,39,1.8,21.3
"Eddy, North Dakota",12.4,45.8,3.3,26.2
"Emmons, North Dakota",14.7,50.9,3.2,18.2
"Foster, North Dakota",7.8,44.8,1.6,26.7
"Golden Valley, North Dakota",7.4,45,4.2,26.9
"Grand Forks, North Dakota",17.4,29.7,0.7,35.6
"Grant, North Dakota",13.4,50.1,1.9,18.1
"Griggs, North Dakota",7.4,51.1,2.9,25.8
"Hettinger, North Dakota",12.3,46.5,3.4,13
"Kidder, North Dakota",11.7,47.8,0.8,17.7
"LaMoure, North Dakota",11.6,47.9,3.8,24.6
"Logan, North Dakota",9.8,52,0.1,19.6
"McHenry, North Dakota",10.4,43.2,1.5,21.4
"McIntosh, North Dakota",12.7,53.5,1.5,15.6
"McKenzie, North Dakota",8.7,30.1,1.1,25.8
"McLean, North Dakota",9.3,46,1.1,20.8
"Mercer, North Dakota",8.3,44,3.1,21.7
"Morton, North Dakota",8.2,37.8,2.9,26.9
"Mountrail, North Dakota",9.9,33.2,3.1,20.4
"Nelson, North Dakota",10.8,52.4,1.7,25
"Oliver, North Dakota",7.5,47,1.6,21.1
"Pembina, North Dakota",8.9,48.1,4.1,20.6
"Pierce, North Dakota",16.1,45.8,0,21
"Ramsey, North Dakota",13.5,40.7,2.3,26.4
"Ransom, North Dakota",6.2,46.6,1.3,19.1
"Renville, North Dakota",2.9,39,5,20.1
"Richland, North Dakota",12.2,37.3,0.7,21.3
"Rolette, North Dakota",26.1,31.4,0.2,19.6
"Sargent, North Dakota",5.3,45.2,0.7,18.5
"Sheridan, North Dakota",11.4,50.9,0,14.6
"Sioux, North Dakota",30.8,28.2,0.2,15
"Slope, North Dakota",6.1,47.7,0.7,25.9
"Stark, North Dakota",10,34.2,2.4,22.4
"Steele, North Dakota",5,50.3,0.5,30.9
"Stutsman, North Dakota",12.1,40.5,2.2,23.7
"Towner, North Dakota",13.5,47.6,2.5,17
"Traill, North Dakota",8.8,41.2,0.8,28.9
"Walsh, North Dakota",11,44.2,1.2,17.2
"Ward, North Dakota",10.2,31.6,2.2,29.3
"Wells, North Dakota",11.6,51.6,3.6,22.2
"Williams, North Dakota",6.6,31.3,4.6,23.6
"Adams, Ohio",21,42,3.5,13.2
"Allen, Ohio",14.1,39.2,1.2,18.9
"Ashland, Ohio",12.1,40.4,1.3,20.9
"Ashtabula, Ohio",18.1,42.5,1.3,14.3
"Athens, Ohio",28.2,29.6,1.7,30.2
"Auglaize, Ohio",8.8,41.1,1,18.9
"Belmont, Ohio",12.5,44.6,1.6,16.7
"Brown, Ohio",14.8,42.1,0.7,14.9
"Butler, Ohio",12.1,36.7,1.1,30.2
"Carroll, Ohio",11.5,45.5,2.2,13.3
"Champaign, Ohio",10,41.9,1.3,16.1
"Clark, Ohio",14.2,41.1,1.1,18.7
"Clermont, Ohio",9.2,40,0.9,28.6
"Clinton, Ohio",13.9,39.4,1.5,18.9
"Columbiana, Ohio",13.6,44.1,1.7,14.9
"Coshocton, Ohio",13.7,41.3,1.2,13.2
"Crawford, Ohio",15.5,43,1.4,14.4
"Cuyahoga, Ohio",17.3,40.4,1.8,32.5
"Darke, Ohio",10.5,41.9,1.9,15.8
"Defiance, Ohio",9.6,40.4,1.7,18
"Delaware, Ohio",5.1,38.8,0.7,54.3
"Erie, Ohio",11.5,44.8,2.7,23.2
"Fairfield, Ohio",9.1,39.2,1.4,27.6
"Fayette, Ohio",15.6,41.4,0.6,16.3
"Franklin, Ohio",13.6,34.1,1.1,40
"Fulton, Ohio",7.9,41.1,0.3,17.6
"Gallia, Ohio",19.1,40.7,3.1,15.9
"Geauga, Ohio",6.4,44.8,1,38
"Greene, Ohio",11.7,38.3,1.1,39.2
"Guernsey, Ohio",18.3,42.2,2.3,14.6
"Hamilton, Ohio",15.1,36.8,1,37.9
"Hancock, Ohio",10.9,39.3,1.3,27.1
"Hardin, Ohio",14.7,35.9,1,16.2
"Harrison, Ohio",16.1,46.3,1.1,11.6
"Henry, Ohio",8.3,41.1,1.5,17.2
"Highland, Ohio",17.5,40.8,1.2,13.4
"Hocking, Ohio",14.1,43.1,1.6,14.4
"Holmes, Ohio",10,31.5,0.8,9.7
"Huron, Ohio",12.4,39.8,1.2,14.4
"Jackson, Ohio",17.9,40.1,3.4,14.5
"Jefferson, Ohio",17.2,44.8,2.2,15.8
"Knox, Ohio",12.3,39.4,0.7,23
"Lake, Ohio",7.8,43.8,1.1,27.4
"Lawrence, Ohio",19.3,41.8,3.6,14.9
"Licking, Ohio",10.5,39.7,1.8,26.1
"Logan, Ohio",12.1,41.4,2,16.5
"Lorain, Ohio",13.6,41.8,1.4,24.9
"Lucas, Ohio",18.6,37.8,1.5,26.3
"Madison, Ohio",7.7,40.8,0.9,17.5
"Mahoning, Ohio",16.8,43.5,3.3,24.2
"Marion, Ohio",13.9,41.3,1.4,12.5
"Medina, Ohio",6.3,42.2,0.9,33.9
"Meigs, Ohio",19.5,43.6,1.3,13.1
"Mercer, Ohio",6.6,39.6,1.6,18.3
"Miami, Ohio",9.2,41.3,0.8,23.3
"Monroe, Ohio",16.2,46.5,2.1,12.5
"Montgomery, Ohio",15.7,39.2,2.4,27.9
